Time (s),X (m),Y (m),Velocity (m/s),Phase
35.363,0.8525,0.3455,0.3500,Returning to Start
35.413,0.8694,0.3409,0.3500,Returning to Start
35.463,0.8863,0.3364,0.3500,Returning to Start
35.513,0.9031,0.3318,0.3500,Returning to Start
35.563,0.9200,0.3273,0.3500,Returning to Start
35.570,0.9224,0.3266,0.3500,Returning to Start
35.620,0.9386,0.3222,0.3200,Returning to Start
35.670,0.9533,0.3183,0.2900,Returning to Start
35.720,0.9666,0.3147,0.2600,Returning to Start
35.770,0.9784,0.3115,0.2300,Returning to Start
35.820,0.9888,0.3087,0.2000,Returning to Start
35.870,0.9977,0.3063,0.1700,Returning to Start
35.920,1.0052,0.3043,0.1400,Returning to Start
35.970,1.0113,0.3026,0.1100,Returning to Start
36.020,1.0159,0.3014,0.0800,Returning to Start
36.070,1.0190,0.3005,0.0500,Returning to Start
36.120,1.0207,0.3001,0.0200,Returning to Start
